WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44571,2022,2,44570,2022,2,NONSENTINEL,0,0,0,,0,0,0,0,,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,AF,202202,202202,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44592,2022,5,44591,2022,5,NONSENTINEL,0,0,0,,0,0,0,0,,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,AF,202205,202205,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44627,2022,10,44626,2022,10,NONSENTINEL,0,0,0,,0,0,0,0,,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,AF,202210,202210,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44662,2022,15,44661,2022,15,NONSENTINEL,0,0,0,,0,0,0,0,,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,AF,202215,202215,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44697,2022,20,44696,2022,20,NONSENTINEL,0,0,0,,0,0,0,0,,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,AF,202220,202220,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44732,2022,25,44731,2022,25,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202225,202225,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44767,2022,30,44766,2022,30,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202230,202230,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44802,2022,35,44801,2022,35,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202235,202235,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44837,2022,40,44836,2022,40,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202240,202240,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44872,2022,45,44871,2022,45,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202245,202245,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44907,2022,50,44906,2022,50,NONSENTINEL,25,25,5,,0,0,0,0,,0,,5,,,2,,0,0,2,7,18,,0,0,0,0,0,0,,0,0,0,,0,AF,202250,202250,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44928,2023,1,44927,2023,1,NONSENTINEL,106,106,16,,0,0,0,0,,0,,16,,,6,,0,0,6,22,84,,0,0,0,0,0,0,,0,0,0,,0,AF,202301,202301,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44963,2023,6,44962,2023,6,NONSENTINEL,84,84,0,,0,0,0,0,,0,,,,,9,,0,0,9,9,75,,0,0,0,0,0,0,,0,0,0,,0,AF,202306,202306,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,44998,2023,11,44997,2023,11,NONSENTINEL,25,25,0,,0,0,0,0,,0,,,,,0,,0,0,0,,25,,0,0,0,0,0,0,,0,0,0,,0,AF,202311,202311,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45033,2023,16,45032,2023,16,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202316,202316,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45068,2023,21,45067,2023,21,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202321,202321,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45103,2023,26,45102,2023,26,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202326,202326,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45159,2023,34,45158,2023,34,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202334,202334,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45194,2023,39,45193,2023,39,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202339,202339,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45215,2023,42,45214,2023,42,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202342,202342,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45229,2023,44,45228,2023,44,NONSENTINEL,4,4,0,,0,0,0,0,,0,,,,,0,,0,0,0,,4,,0,0,0,0,0,0,,0,0,0,,0,AF,202344,202344,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45250,2023,47,45249,2023,47,NONSENTINEL,0,0,0,,0,0,0,0,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,,0,AF,202347,202347,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45264,2023,49,45263,2023,49,NONSENTINEL,6,6,0,,0,0,0,0,,0,,,,,0,,0,0,0,,6,,0,0,0,0,0,0,,0,0,0,,0,AF,202349,202349,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45285,2023,52,45284,2023,52,NONSENTINEL,10,10,0,,1,0,0,0,,0,,1,,,0,,0,0,0,1,9,,0,0,0,0,0,0,,0,0,0,,0,AF,202352,202352,1,1,1
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,45320,2024,5,45319,2024,5,NONSENTINEL,15,15,0,,0,0,0,0,,0,,,,,0,,0,0,0,,15,,0,0,0,0,0,0,,0,0,0,,0,AF,202405,202405,1,1,1
