WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40210,2010,5,40209,2010,5,NOTDEFINED,53,53,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,1,,,,,,,,,,RSV,,,BD,201005,201005,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40245,2010,10,40244,2010,10,NOTDEFINED,107,107,5,0,0,0,,0,,0,,5,,,0,,0,3,3,8,,3,,,,,,,,,,"Adeno, HPIV1, RSV",,,BD,201010,201010,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40280,2010,15,40279,2010,15,NOTDEFINED,79,79,8,0,0,0,,0,,0,,8,,,0,,0,4,4,12,,3,,,,,,,,,,RSV & Adeno,No unsubtypable strain was identified.,,BD,201015,201015,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40315,2010,20,40314,2010,20,NOTDEFINED,106,106,10,0,0,0,,0,,0,,10,,,0,,0,10,10,20,,3,,,,,,,,,,RSV,,,BD,201020,201020,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40350,2010,25,40349,2010,25,NOTDEFINED,68,68,8,0,0,0,,0,,0,,8,,,0,,0,6,6,14,,3,,,,,,,,,,RSV HPIV3,,,BD,201025,201025,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40385,2010,30,40384,2010,30,NOTDEFINED,94,94,13,0,1,0,,0,,0,,14,,,0,,0,19,19,33,,3,,,,,,,,,,,,,BD,201030,201030,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40420,2010,35,40419,2010,35,NOTDEFINED,87,87,5,0,11,0,,0,,0,,16,,,0,,0,1,1,17,,3,,,,,,,,,,RSV,,,BD,201035,201035,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40455,2010,40,40454,2010,40,NOTDEFINED,68,68,3,0,6,0,,0,,0,,9,,,0,,0,0,0,9,,3,,,,,,,,,,RSV HMPV ADENO,,,BD,201040,201040,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40490,2010,45,40489,2010,45,NOTDEFINED,58,58,0,0,0,0,,0,,0,,0,,,0,,0,1,1,1,,2,,,,,,,,,,"RSV, HMPV, Adeno",,,BD,201045,201045,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40525,2010,50,40524,2010,50,NOTDEFINED,54,54,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,HPIV3 HMPV Adeno,,,BD,201050,201050,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40546,2011,1,40545,2011,1,NOTDEFINED,37,37,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,"HPIV3, HMPV, Adeno",,,BD,201101,201101,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40581,2011,6,40580,2011,6,NOTDEFINED,45,45,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,"HPIV2, HPIV3, HMPV",,,BD,201106,201106,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40616,2011,11,40615,2011,11,NOTDEFINED,64,64,1,0,0,0,,0,,0,,1,,,0,,0,0,0,1,,2,,,,,,,,,,"HPIV2, HPIV3, HMPV, Adeno",,,BD,201111,201111,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40651,2011,16,40650,2011,16,NOTDEFINED,40,40,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,HPIV3,,,BD,201116,201116,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40686,2011,21,40685,2011,21,NOTDEFINED,28,28,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,1,,,,,,,,,,HMPV,,,BD,201121,201121,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40721,2011,26,40720,2011,26,NOTDEFINED,101,101,1,0,42,0,,0,,0,,43,,,0,,0,1,1,44,,3,,,,,,,,,,HMPV Adeno,,,BD,201126,201126,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40756,2011,31,40755,2011,31,NOTDEFINED,85,85,0,0,13,0,,0,,0,,13,,,0,,0,16,16,29,,3,,,,,,,,,,Adeno,,,BD,201131,201131,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40791,2011,36,40790,2011,36,NOTDEFINED,9,9,0,0,0,0,,0,,0,,0,,,0,,0,2,2,2,,3,,,,,,,,,,,,,BD,201136,201136,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40826,2011,41,40825,2011,41,NOTDEFINED,115,115,0,0,0,0,,0,,0,,0,,,0,,0,7,7,7,,3,,,,,,,,,,"HPIV1, RSV",,,BD,201141,201141,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40861,2011,46,40860,2011,46,NOTDEFINED,15,15,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,,,,BD,201146,201146,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40896,2011,51,40895,2011,51,NOTDEFINED,39,39,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,RSV,,,BD,201151,201151,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40917,2012,2,40916,2012,2,NOTDEFINED,66,66,0,0,0,0,,0,,0,,0,,,0,,0,2,2,2,,2,,,,,,,,,,,,,BD,201202,201202,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40952,2012,7,40951,2012,7,NOTDEFINED,79,79,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,,,,BD,201207,201207,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,40987,2012,12,40986,2012,12,NOTDEFINED,103,103,33,0,0,0,,0,,0,,33,,,0,,0,0,0,33,,3,,,,,,,,,,,,,BD,201212,201212,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41022,2012,17,41021,2012,17,NOTDEFINED,58,58,16,0,0,0,,0,,0,,16,,,0,,0,0,0,16,,3,,,,,,,,,,HPIV3,,,BD,201217,201217,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41057,2012,22,41056,2012,22,NOTDEFINED,56,56,5,0,0,0,,0,,0,,5,,,0,,0,0,0,5,,3,,,,,,,,,,HPIV3,,,BD,201222,201222,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41092,2012,27,41091,2012,27,NOTDEFINED,116,116,5,0,0,0,,0,,0,,5,,,0,,0,2,2,7,,3,,,,,,,,,,HPIV3 Adeno,,,BD,201227,201227,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41127,2012,32,41126,2012,32,NOTDEFINED,111,111,4,0,0,0,,0,,0,,4,,,0,,0,13,13,17,,3,,,,,,,,,,,,,BD,201232,201232,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41162,2012,37,41161,2012,37,NOTDEFINED,79,79,10,0,0,0,,0,,0,,10,,,0,,0,17,17,27,,3,,,,,,,,,,"HPIV3, RSV, Adeno",,,BD,201237,201237,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41197,2012,42,41196,2012,42,NOTDEFINED,91,91,4,0,1,0,,0,,0,,5,,,0,,0,10,10,15,,3,,,,,,,,,,"HMPV, RSV",,,BD,201242,201242,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41218,2012,45,41217,2012,45,NOTDEFINED,110,110,3,0,1,0,,0,,0,,4,,,0,,0,7,7,11,,3,,,,,,,,,,,,,BD,201245,201245,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41232,2012,47,41231,2012,47,NOTDEFINED,65,65,0,0,2,0,,0,,0,,2,,,0,,0,5,5,7,,2,,,,,,,,,,,,,BD,201247,201247,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41253,2012,50,41252,2012,50,NOTDEFINED,48,48,0,0,0,0,,0,,0,,0,,,0,,0,2,2,2,,2,,,,,,,,,,"HMPV, Adeno",,,BD,201250,201250,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41267,2012,52,41266,2012,52,NOTDEFINED,35,35,1,0,0,0,,0,,0,,1,,,0,,0,0,0,1,,2,,,,,,,,,,HMPV,,,BD,201252,201252,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41288,2013,3,41287,2013,3,NOTDEFINED,53,53,0,0,0,0,,0,,0,,0,,,0,,0,0,0,,,2,,,,,,,,,,,,,BD,201303,201303,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41323,2013,8,41322,2013,8,NOTDEFINED,65,65,2,0,0,0,,0,,0,,2,,,0,,0,0,0,2,,3,,,,,,,,,,HPIV3,,,BD,201308,201308,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41358,2013,13,41357,2013,13,NOTDEFINED,44,44,9,0,0,0,,0,,0,,9,,,0,,0,0,0,9,,3,,,,,,,,,,,,,BD,201313,201313,,,
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,41393,2013,18,41392,2013,18,NOTDEFINED,34,34,3,0,3,0,,0,,0,,6,,,0,,0,0,0,6,,2,,,,,,,,,,,,,BD,201318,201318,,,
