WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35450,1997,4,35449,1997,4,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,"Dec. 96: One case in returned traveller from Vietnam.
Detection of Influenza B antigen in respiratory secretions.",AU,199704,199704,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35485,1997,9,35484,1997,9,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199709,199709,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35520,1997,14,35519,1997,14,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199714,199714,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35555,1997,19,35554,1997,19,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199719,199719,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35590,1997,24,35589,1997,24,NOTDEFINED,0,,,0,0,,,2,,,,2,,,,,,0,0,2,,3,,,,,,,,,,,,"Influenza A was detected by immunofluorescence in two 1 yr old females.
",AU,199724,199724,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35625,1997,29,35624,1997,29,NOTDEFINED,4,,,0,2,,,6,,,,8,,,,,,4,4,12,,4,,,,,,,,,,,,"Influenza A was detected by immunofluorescence in 4 specimens: 1 female (10 yrs) and 2 males (3& 49 yrs). 
Influenza B was detected by immunofluorescence in 1 specimen: female (41 yrs)
Influenza A was detected by cell culture in a 24 yr old, 62yr old (throat swab) and a 33 yr old (throat swab)
Influenza B was detected by cell culture in a 25 yr old",AU,199729,199729,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35660,1997,34,35659,1997,34,NOTDEFINED,3,,,0,0,,,4,,,,4,,,,,,5,5,9,,4,,,,,,,,,,,,"Influenza B was detected by immunofluorescence from a nasopharyngeal aspirate from a 3.4 year old and a 0.9 yr old
Influenza A was detected from two throat swabs from a 15 and a 35 yr old and a 1 yr and 40 yr old (nasopharyngeal aspirate)",AU,199734,199734,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35695,1997,39,35694,1997,39,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199739,199739,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35730,1997,44,35729,1997,44,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199744,199744,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35765,1997,49,35764,1997,49,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199749,199749,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35828,1998,6,35827,1998,5,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199806,199805,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35863,1998,11,35862,1998,10,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199811,199810,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35898,1998,16,35897,1998,15,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199816,199815,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35933,1998,21,35932,1998,20,NOTDEFINED,4,,,0,2,,,2,,,,4,,,,,,0,0,4,,3,,,,,,,,,,,,Various influenza sentinel programmes underway (local and national).,AU,199821,199820,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,35968,1998,26,35967,1998,25,NOTDEFINED,21,,,,0,,,21,,,,21,,,,,,0,0,21,,4,,,,,,,,,,,,One seroconversion.,AU,199826,199825,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36003,1998,31,36002,1998,30,NOTDEFINED,32,,,,0,,,32,,,,32,,,,,,0,0,32,,5,,,,,,,,,,,,,AU,199831,199830,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36038,1998,36,36037,1998,35,NOTDEFINED,28,,,0,0,,,28,,,,28,,,,,,0,0,28,,5,,,,,,,,,,,,,AU,199836,199835,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36073,1998,41,36072,1998,40,NOTDEFINED,1,,,,,,,1,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,Moderately busy influenza season over. No influenza B activity this year. ,AU,199841,199840,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36108,1998,46,36107,1998,45,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199846,199845,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36143,1998,51,36142,1998,50,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199851,199850,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36171,1999,2,36170,1999,2,NOTDEFINED,1,,,0,0,,,1,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,,AU,199902,199902,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36206,1999,7,36205,1999,7,NOTDEFINED,2,,,0,0,,,2,,,,2,,,,,,0,0,2,,3,,,,,,,,,,,,serology from one male and one female both mid twenties,AU,199907,199907,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36241,1999,12,36240,1999,12,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,199912,199912,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36276,1999,17,36275,1999,17,NOTDEFINED,3,,,0,0,,,2,,,,2,,,,,,1,1,3,,3,,,,,,,,,,,,,AU,199917,199917,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36311,1999,22,36310,1999,22,NOTDEFINED,20,,,0,2,,,18,,,,20,,,,,,0,0,20,,4,,,,,,,,,,,,h3n2 detected by pcr,AU,199922,199922,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36346,1999,27,36345,1999,27,NOTDEFINED,72,,,0,7,,,61,,,,68,,,,,,4,4,72,,6,,,,,,,,,,,,,AU,199927,199927,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36381,1999,32,36380,1999,32,NOTDEFINED,21,,,0,0,,,17,,,,17,,,,,,4,4,21,,5,,,,,,,,,,,,,AU,199932,199932,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36416,1999,37,36415,1999,37,NOTDEFINED,4,,,0,0,,,1,,,,1,,,,,,3,3,4,,3,,,,,,,,,,,,,AU,199937,199937,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36451,1999,42,36450,1999,42,NOTDEFINED,4,,,0,0,,,1,,,,1,,,,,,3,3,4,,3,,,,,,,,,,,,sporadic influenza A and B,AU,199942,199942,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36486,1999,47,36485,1999,47,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,no activity,AU,199947,199947,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36521,1999,52,36520,1999,52,NOTDEFINED,1,,,0,1,,,0,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,no activity,AU,199952,199952,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36542,2000,3,36541,2000,3,NOTDEFINED,2,,,0,0,,,2,,,,2,,,,,,0,0,2,,3,,,,,,,,,,,,one case 27/1/1 confirmed by immunofluoresence,AU,200003,200003,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36577,2000,8,36576,2000,8,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,no activity,AU,200008,200008,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36612,2000,13,36611,2000,13,NOTDEFINED,1,,,0,0,,,1,,,,1,,,,,,,,1,,3,,,,,,,,,,,,One 76 year male by CFT,AU,200013,200013,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36647,2000,18,36646,2000,18,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,no activity,AU,200018,200018,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36682,2000,23,36681,2000,23,NOTDEFINED,2,,,0,0,,,1,,,,1,,,,,,1,1,2,,3,,,,,,,,,,,,"One 47 year old male cft 10, Total IF 160
One 18 year old female and one 18 yo male each
Flu B by IF,culture(typed as B/Yamanashi/166/98 like) and PCR.",AU,200023,200023,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36717,2000,28,36716,2000,28,NOTDEFINED,14,,,0,0,,,9,,,,9,,,,,,5,5,14,,3,,,,,,,,,,,,sporadic activity,AU,200028,200028,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36752,2000,33,36751,2000,33,NOTDEFINED,53,,,1,1,,,39,,,,41,,,,,,12,12,53,,5,,,,,,,,,,,,Large increase in influenza: predominantly influenza A,AU,200033,200033,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36787,2000,38,36786,2000,38,NOTDEFINED,18,,,0,0,,,10,,,,10,,,,,,8,8,18,,3,,,,,,,,,,,,Diminishing flu activity,AU,200038,200038,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36822,2000,43,36821,2000,43,NOTDEFINED,2,,,,,,,1,,,,1,,,,,,1,1,2,,3,,,,,,,,,,,,Sporadic activity,AU,200043,200043,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36843,2000,46,36842,2000,46,NOTDEFINED,1,,,0,0,,,0,,,,0,,,,,,1,1,1,,3,,,,,,,,,,,,no activity,AU,200046,200046,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36857,2000,48,36856,2000,48,NOTDEFINED,3,,,0,0,,,3,,,,3,,,,,,0,0,3,,3,,,,,,,,,,,,no activity,AU,200048,200048,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,36878,2000,51,36877,2000,51,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,AU,200051,200051,1,1,1
